variable,accuracy_in_samp,accuracy_out_samp,cutoff_01
t_mil,0.998341619968414,0.805739521980286,0.999599992057089
t_loc,0.999447226524353,0.847682118415833,0.144382928182665
t_san,0.999447226524353,0.933774828910828,0.999978499630116
a_rus,1,0.852097153663635,0.999979999599996
a_ukr,0.999447226524353,0.94481235742569,0.99997999960002
a_civ,0.993919312953949,0.995584964752197,0.999199324527749
a_other,0.95356547832489,0.964679896831512,0.9999983
t_aad,0.990049779415131,0.986754953861237,0.010988162577318
t_airstrike,1,0.984547436237335,1
t_airalert,1,0.997792482376099,0.0120402408773104
t_armor,0.990049779415131,0.988962471485138,0.0846216924511795
t_arrest,1,0.960264921188354,1
t_artillery,1,0.949227392673492,0.0752815056807071
t_control,0.999447226524353,0.982339978218079,1
t_firefight,1,0.986754953861237,0.2928658573705
t_killing,1,0.986754953861237,1
t_ied,1,0.984547436237335,1
t_raid,1,0.993377506732941,0.995519671474001
t_occupy,1,0.988962471485138,1
t_property,1,0.951434850692749,0.998739974799589
t_cyber,1,0.960264921188354,1
t_hospital,1,0.988962471485138,0.999959999199985
t_milcas,1,0.977924942970276,0.999679993599885
t_civcas,1,0.947019875049591,1
